id,name,value,group_id,product_id
02f36d76-cc5a-46d6-a5e7-1ea87e713892,Відеоядро,Apple Ax Series,2c21e622-1225-4c47-8bc4-c2840b594668,2c7abaed-52c5-4210-bc52-8ee361afefa4
044e4ae7-4d21-4df8-8ce8-020617825f0b,Вага,227 г,b9e0c109-f740-414a-a35e-6b15bc9ce9fb,2c7abaed-52c5-4210-bc52-8ee361afefa4
14461aaa-8f9f-495c-88cd-3257f9758b0d,Кількість модулів основної камери,3,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
24644708-d756-4ee7-a031-08df16cc60c5,Кількість модулів фронтальної камери,1,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
3096ccb2-3115-42c6-918c-7766344fa04b,Кількість SIM-карт,1 SIM + e-sim,e5a83f42-9f88-47f4-88ef-9968d5573f04,2c7abaed-52c5-4210-bc52-8ee361afefa4
3b01cd5c-f039-4d43-a984-888c24a2d390,Артикул,MYWV3,30497684-7a57-4288-a279-da6b41a6e9c5,2c7abaed-52c5-4210-bc52-8ee361afefa4
3bb9ba18-98b4-45b3-81a3-dfa1a385be20,Матеріал екрану,Ceramic Shield,01fadea0-2d06-4115-9372-2c8f85075ed6,2c7abaed-52c5-4210-bc52-8ee361afefa4
4553ab57-678d-4a25-8417-98c5784bdccf,Діафрагма фронтальної камери,f/1.9,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
4596f14d-b03a-497e-b4ad-eb138b276b1d,Метод стабілізації,оптична,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
5272e99f-5c4a-4fb0-9187-cf3815f75cb1,Особливості корпусу,"безрамковий дисплей, водонепроникні",b9e0c109-f740-414a-a35e-6b15bc9ce9fb,2c7abaed-52c5-4210-bc52-8ee361afefa4
531207f4-ba1f-4146-8272-d8acc0f69d6c,Формат SIM-карти,"e-sim, Nano",e5a83f42-9f88-47f4-88ef-9968d5573f04,2c7abaed-52c5-4210-bc52-8ee361afefa4
53b37c3f-c382-47c2-8587-85c112149900,Розміри (мм),163 х 77.6 х 8.25 мм,b9e0c109-f740-414a-a35e-6b15bc9ce9fb,2c7abaed-52c5-4210-bc52-8ee361afefa4
5aa8e85d-1a08-4594-9d12-2de379b38a34,Колір,чорний,b9e0c109-f740-414a-a35e-6b15bc9ce9fb,2c7abaed-52c5-4210-bc52-8ee361afefa4
5c38f445-4750-49bd-8479-fe3219e380ee,Вбудовані датчики,"датчик наближення, гіроскоп, барометр, датчик освітлення, акселерометр, компас",63738059-460d-4240-9e62-d4c436cc93dc,2c7abaed-52c5-4210-bc52-8ee361afefa4
60028a69-0329-4b49-8f52-51e2d87491ba,Діагональ екрану,"6.9""",01fadea0-2d06-4115-9372-2c8f85075ed6,2c7abaed-52c5-4210-bc52-8ee361afefa4
60e031e7-9fb4-4765-be04-1adb4e48c8ea,Примітка,"Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження",30497684-7a57-4288-a279-da6b41a6e9c5,2c7abaed-52c5-4210-bc52-8ee361afefa4
6552a69a-6d58-44ea-bbd4-c1a6b3fc47dd,Діафрагма основної камери,f/1.78 + f/2.2 + f/2.8,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
673d3ed9-114e-469a-9b42-76a473622551,Матеріал корпуса,"титан, алюміній",b9e0c109-f740-414a-a35e-6b15bc9ce9fb,2c7abaed-52c5-4210-bc52-8ee361afefa4
6b1dcc5a-7f39-4c41-875a-58428dca6260,Функції камери,"панорама, розпізнавання обличчя, HDR, геотегінг, спалах, автофокус",47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
6c022e11-9135-4ff7-9b9e-b61a5b976c06,Запис відео фронтальної камери,4K / 3840x2160 / стереозвук,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
7e59b4a7-707f-47a0-b1fa-4742c7e6833f,Фронтальна камера,12 Mpx,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
7f161d15-8cdc-4c87-bc82-18f693354625,Операційна система,iOS 18,e685fe4f-525c-4798-8f20-0cd9c51d2ed8,2c7abaed-52c5-4210-bc52-8ee361afefa4
85f2521b-b43d-464a-b118-bb442ae98138,"Покоління зв'язку (2G /3G/4G/5G)","2G, 3G, 4G, 5G",e5a83f42-9f88-47f4-88ef-9968d5573f04,2c7abaed-52c5-4210-bc52-8ee361afefa4
88efb32e-6415-4161-9fad-b1b1cea60dad,Кількість ядер,6 core,2c21e622-1225-4c47-8bc4-c2840b594668,2c7abaed-52c5-4210-bc52-8ee361afefa4
89bdb453-215b-4878-8dab-9b0def2de1aa,Виробник,Apple,30497684-7a57-4288-a279-da6b41a6e9c5,2c7abaed-52c5-4210-bc52-8ee361afefa4
8f30ef0c-9ee2-4e89-9f3f-e8bd8d40c12e,Запис відео основної камери,4K / 3840x2160 / стереозвук,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
9a34d3db-170c-4d83-bef4-8c26a365fde8,Форм-фактор,моноблок,e5a83f42-9f88-47f4-88ef-9968d5573f04,2c7abaed-52c5-4210-bc52-8ee361afefa4
9fd53f01-ce84-4d03-a822-c49540fd4303,Тип дисплея,OLED (Super Retina XDR),01fadea0-2d06-4115-9372-2c8f85075ed6,2c7abaed-52c5-4210-bc52-8ee361afefa4
ab9e3a96-24d7-4f4b-b783-4688ffd159de,Штрихкод,195949805783,30497684-7a57-4288-a279-da6b41a6e9c5,2c7abaed-52c5-4210-bc52-8ee361afefa4
b199dd9b-7546-4d2d-af8a-ce5d13a0f5ae,"Гарантія, міс",12,30497684-7a57-4288-a279-da6b41a6e9c5,2c7abaed-52c5-4210-bc52-8ee361afefa4
b8256021-bce0-47a6-b1cc-53a72b95a848,Особливості,IP68 certified,63738059-460d-4240-9e62-d4c436cc93dc,2c7abaed-52c5-4210-bc52-8ee361afefa4
bdcbe46d-fcdf-4d04-b6de-b56bda1f7117,Процесор,Apple A18 Pro,2c21e622-1225-4c47-8bc4-c2840b594668,2c7abaed-52c5-4210-bc52-8ee361afefa4
c787d334-e829-4d53-8590-af46e54244c8,"Вбудована пам'ять",256 Gb,3660d90c-cef8-4221-8b18-44e3cd37243a,2c7abaed-52c5-4210-bc52-8ee361afefa4
ca2b9576-d027-4d57-bfcc-df8451dcf272,Модель,iPhone 16 Pro Max 256GB Black Titanium,30497684-7a57-4288-a279-da6b41a6e9c5,2c7abaed-52c5-4210-bc52-8ee361afefa4
d227c6b9-dc55-47e9-b36a-619aa25d7df8,Навігація,"BeiDou, Galileo, QZSS, iBeacon, GPS, A-GPS",b8bfe417-4f85-452d-b4c5-5e59f5f40505,2c7abaed-52c5-4210-bc52-8ee361afefa4
d32b88f7-309d-4a3a-b561-b86bac5ff395,Інтерфейси і підключення,USB Type-C,89f25c60-8a74-4c03-939d-c6fade52916b,2c7abaed-52c5-4210-bc52-8ee361afefa4
dc7664e5-5112-4269-bc24-7a7c4cefb9af,Безпека,FaceID,63738059-460d-4240-9e62-d4c436cc93dc,2c7abaed-52c5-4210-bc52-8ee361afefa4
def40c4f-ed42-4eab-a367-95675f62e4d7,Оснащення,"пило/вологозахист, гіроскоп, бездротове заряджання",63738059-460d-4240-9e62-d4c436cc93dc,2c7abaed-52c5-4210-bc52-8ee361afefa4
e04ab569-3307-4ad9-92e4-c4cd862a20c2,Основна камера,48 + 48 + 12 Mpx,47795588-3931-4154-952f-ab52c08c1040,2c7abaed-52c5-4210-bc52-8ee361afefa4
efe8f2c3-69ae-4089-ab72-2954fb39d98c,Бездротові підключення,"Bluetooth, WI-FI, NFC",b8bfe417-4f85-452d-b4c5-5e59f5f40505,2c7abaed-52c5-4210-bc52-8ee361afefa4
f13ac71e-84f8-4e08-b7fc-dbdce8ee062f,Роздільна здатність екрану,1320 х 2868,01fadea0-2d06-4115-9372-2c8f85075ed6,2c7abaed-52c5-4210-bc52-8ee361afefa4
f238de9a-96f3-45b8-8ea4-a6299431281b,Мультимедіа,"ігри, FM-радіо, мобільні сервіси Google, соціальні мережі, відеоплеєр, музичний плеєр",e685fe4f-525c-4798-8f20-0cd9c51d2ed8,2c7abaed-52c5-4210-bc52-8ee361afefa4
fd089924-e6f2-465a-9de1-4548fc031c98,Органайзер,"календар, телефонна книга, диктофон, секундомір, калькулятор, будильник, світовий час, нотатки, годинник",e685fe4f-525c-4798-8f20-0cd9c51d2ed8,2c7abaed-52c5-4210-bc52-8ee361afefa4
feaf8531-17a0-465b-b788-0a5921253986,Частота оновлення екрану,120 Гц,01fadea0-2d06-4115-9372-2c8f85075ed6,2c7abaed-52c5-4210-bc52-8ee361afefa4